Time,Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
0.0000,1.9258,4.7405,4.2435,0.9614,-2.6311,0.0837,1.2770,-1.0644,8.2630,1.5301,4.0382,1.3292,0.7547,-2.7882,1.2704,-0.0725,-0.2654,4.9616,2.1641
3.9062,2.3392,5.0332,4.3012,0.9649,-2.6318,0.9072,1.6571,-0.9987,8.3895,1.9167,4.2489,1.4203,0.1397,-2.7601,0.8312,-1.0851,-0.5049,4.9077,1.4547
7.8125,2.2122,4.5716,3.9659,1.3806,-2.0355,1.7902,2.2410,-0.2028,7.9374,2.0320,3.8556,1.2876,-0.5580,-2.7423,-0.3142,-2.4317,-1.0650,4.8320,0.7139
11.7188,1.1852,3.0630,3.1405,2.0736,-0.9088,2.2600,2.8704,1.2770,6.6104,1.4957,2.5463,0.6773,-1.1960,-2.7824,-2.0609,-3.7925,-1.9500,4.5082,0.1213
15.6250,-0.7410,0.6811,1.8579,2.5934,0.2892,1.8980,3.2301,2.8866,4.4282,0.0922,0.3634,-0.4857,-1.6977,-2.8866,-3.9758,-4.7985,-2.9591,3.6497,-0.2913
19.5312,-3.1543,-1.9899,0.2415,2.3949,0.9082,0.5743,2.9847,3.8008,1.7585,-2.0940,-2.2834,-2.0223,-2.1026,-3.0267,-5.5371,-5.2354,-3.7506,2.0789,-0.6881
23.4375,-5.4091,-4.2763,-1.5436,1.1839,0.4778,-1.4476,1.9939,3.3918,-0.8530,-4.6716,-4.8084,-3.5813,-2.5440,-3.1777,-6.4417,-5.1649,-4.0245,-0.1180,-1.3381
27.3438,-6.9245,-5.7948,-3.3093,-0.8393,-0.9770,-3.6014,0.4717,1.6362,-2.9533,-7.0639,-6.7200,-4.8307,-3.1617,-3.3490,-6.7551,-4.8618,-3.7134,-2.5619,-2.4325
31.2500,-7.4288,-6.6402,-4.8448,-3.0337,-2.8962,-5.2655,-1.0429,-0.8188,-4.3834,-8.7038,-7.8117,-5.6325,-4.0052,-3.5802,-6.7934,-4.6054,-3.0494,-4.7286,-3.9343
35.1562,-7.0269,-7.2627,-5.9512,-4.6756,-4.4721,-6.0404,-1.9288,-2.9961,-5.2991,-9.2341,-8.1879,-6.1005,-5.0002,-3.9079,-6.8383,-4.4802,-2.4532,-6.2179,-5.5785
39.0625,-6.0908,-8.1319,-6.5333,-5.4091,-5.1068,-5.9130,-1.8170,-4.1303,-6.0244,-8.6510,-8.1639,-6.5185,-6.0087,-4.3398,-6.9189,-4.3519,-2.3110,-6.9985,-7.0373
42.9688,-5.0753,-9.4294,-6.7029,-5.4883,-4.7559,-5.2320,-0.8133,-4.0691,-6.8587,-7.3430,-8.1316,-7.1873,-6.9434,-4.8589,-6.8432,-4.0572,-2.7811,-7.4667,-8.1411
46.8750,-4.3688,-10.9669,-6.7927,-5.6172,-3.9356,-4.5155,0.5441,-3.2864,-7.9591,-5.9884,-8.4575,-8.2875,-7.8442,-5.4460,-6.4475,-3.6647,-3.7429,-8.2469,-8.9865
50.7812,-4.2181,-12.3549,-7.2072,-6.4566,-3.3773,-4.1908,1.5824,-2.5192,-9.3326,-5.3110,-9.3990,-9.8057,-8.8345,-6.0724,-5.8433,-3.5783,-4.8979,-9.8084,-9.8295
54.6875,-4.6972,-13.2616,-8.1541,-8.1018,-3.5369,-4.3922,1.8701,-2.2809,-10.8805,-5.7584,-11.0017,-11.5177,-9.9598,-6.6418,-5.4233,-4.3418,-5.9264,-12.1069,-10.8131
58.5938,-5.6761,-13.5641,-9.4182,-9.8853,-4.2657,-4.9048,1.4382,-2.5674,-12.4158,-7.2445,-12.9908,-13.0092,-11.0116,-6.9196,-5.5819,-6.2252,-6.5886,-14.4754,-11.7188
62.5000,-6.8024,-13.3057,-10.3619,-10.6711,-4.8535,-5.2700,0.7165,-2.9218,-13.6473,-9.1176,-14.7502,-13.7425,-11.4886,-6.5372,-6.3500,-8.8659,-6.7331,-15.8752,-11.9474
66.4062,-7.5591,-12.5446,-10.2163,-9.4971,-4.4278,-5.0019,0.2368,-2.7779,-14.1989,-10.4315,-15.4945,-13.2018,-10.7839,-5.1391,-7.2515,-11.2551,-6.2673,-15.4142,-10.8027
70.3125,-7.4463,-11.2649,-8.5344,-6.1888,-2.4803,-3.8198,0.3043,-1.8343,-13.7419,-10.4268,-14.6305,-11.1186,-8.5424,-2.6333,-7.5429,-12.1609,-5.1775,-12.8624,-7.9436
74.2188,-6.2394,-9.4484,-5.5370,-1.5662,0.7864,-1.7954,0.8419,-0.2235,-12.2181,-8.9719,-12.1397,-7.6959,-4.9913,0.6057,-6.7125,-10.7878,-3.6144,-8.8709,-3.7333
